area,severity,category,title,detail,evidence,next_step
completion-path,important,eval_or_simulation,"The documented remedy (`AGENT_STEP_POLICY=lifecycle`) is stricter about `done`, not looser — it is not obviously the fix","docs/ARCHITECTURE.md:345 and docs/PERFORMANCE.md:179 both point at the lifecycle arm as 'the sanctioned lever to evaluate against this class'. But `LifecycleStepPolicy.guard_done` (askme.py:3387-3407) REFUSES `done` while `needs_verification` is set, emitting skip reason `lifecycle_unverified_done`; `needs_verification` is cleared only by a successful shell inside `note_result` (askme.py:3452-3454), which is called only from `_execute_step` (askme.py:4586) — never for a suppressed duplicate. It also refuses deterministic auto-completion (askme.py:3465-3468) and skips same-target rewrites (3409-3437, bumping the shared `dup_skip_count`). Direct adjacency deadlock is not trivially reachable (a write is always followed by an executable shell, since the guard only compares against the immediately previous step), but the arm strictly adds ways to refuse `done` on top of the guards that already cause exhaustion. Recommending it publicly as the remedy is not yet evidence-backed.",/home/user/askme/askme.py:3387-3407 | /home/user/askme/askme.py:3439-3468 | /home/user/askme/askme.py:4586 | /home/user/askme/docs/ARCHITECTURE.md:345 | /home/user/askme/docs/PERFORMANCE.md:179,"Before the blog post repeats the lifecycle recommendation, run a matched heuristic-vs-lifecycle comparison on the `multi_step_build` / `create_and_read_file` tasks under a registered protocol, or soften the claim to 'a candidate lever we have not yet measured'."
dead-code,important,bug,Issue #94 confirmed in code: no wire producer of incomplete_write exists after the tools-only migration,"Verified every link of #94's mechanism chain independently. (1) `_decode_tool_call_reply` (askme.py:1085-1125) is the sole executor-action decoder; on a payload cut at the token budget, `json.loads(raw_arguments)` raises and line 1117 raises `_tool_reply_error(""tool call arguments are not valid JSON (truncated)"")` — the entire envelope, content included, is discarded. (2) Its success path at line 1125 always constructs a DEFAULT `ActionTransport()`; there is no call site anywhere that builds `ActionTransport(content_truncated=True)` from a model reply. (3) `ctx.truncated_write = act == ""write"" and ctx.transport.content_truncated` (askme.py:3537) is therefore permanently False in a real run. (4) So `StepReceipt.executed(..., truncated_write=...)` never sets `_truncated_write` (actions.py:1058-1059) and `_unresolved_incomplete_writes` (askme.py:1539) never finds anything. NEW EVIDENCE #94 does not cite: `_RESERVED_ACTION_FIELDS = frozenset({""content_truncated"", ""finish_reason"", ""transport"", ""truncated_write""})` (actions.py:848-855) means a model that emitted `content_truncated` in its tool arguments is rejected by `parse_action_envelope`, closing the last theoretical wire path. The only surviving producer is askme.py:4498-4502, reachable only when the decoded action is a plain dict rather than a `DecodedAction` — i.e. an injected client.","askme.py:1085-1125 (_decode_tool_call_reply; raise at 1117, `return _accept_or_raise(envelope, cleaned, ActionTransport())` at 1125) | askme.py:3537 (`ctx.truncated_write = act == ""write"" and ctx.transport.content_truncated`) | actions.py:848-855 (_RESERVED_ACTION_FIELDS includes content_truncated) | actions.py:1058-1059 (entry[""_truncated_write""] = True) | askme.py:1539 (_unresolved_incomplete_writes) | askme.py:4498-4502 (the injection seam, only producer) | github.com/den-run-ai/askme/issues/94 (open, filed 2026-08-05, OWNER)","Decide #94 explicitly (salvage the longest valid prefix, or formally retire the path) BEFORE the blog post, because CLAUDE.md currently advertises the recovery half of the invariant as live."
dead-code,important,docs_or_claims,"CLAUDE.md's 'Truncation and observation integrity' invariant is the stale artifact, not ARCHITECTURE.md","This is the key nuance a synthesis step must not get wrong. docs/ARCHITECTURE.md is HONEST and current: its Interface revision 6 section (lines 186-206) states verbatim ""The `content_truncated` intake, incomplete-write obligations, and chunked-append recovery remain for the structured run API and injected clients, but the wire decoder no longer produces partial content."" It was updated in the removal commit itself (`git log -1 -- docs/ARCHITECTURE.md` -> 5e59dd6). By contrast CLAUDE.md:153-160 states ""A partial/truncated mutation is `incomplete_write`, never a complete or merely unvalidated artifact. Preserve an actionable resume boundary and target"" with no caveat, as an unconditional engineering invariant. A reader arriving from the talk reads CLAUDE.md/README first and will conclude the harness commits-and-resumes partial writes from live models. It does not. Likewise tests/workflows/PROTOCOL.md:74-82 describes the sentinel transport and resume-anchor recovery, but that text is explicitly scoped as 'revision-3 results' in a frozen protocol, so it is legitimately historical and should NOT be counted as stale.","docs/ARCHITECTURE.md:200-203 (""but the wire decoder no longer produces partial content"") | docs/ARCHITECTURE.md:316 (table row ""Sentinel content transport (issue #15) — removed"") | CLAUDE.md:153-160 (uncaveated invariant) | tests/workflows/PROTOCOL.md:74-82 (correctly scoped as revision-3, not stale) | git log -1 --format='%h %ad' -- docs/ARCHITECTURE.md -> 5e59dd6 2026-08-03","Add the ARCHITECTURE.md caveat sentence to the CLAUDE.md invariant, or resolve #94 so the invariant becomes true again."
dead-code,important,docs_or_claims,The #41 C-header compile-repair heuristic is wired and ON BY DEFAULT — a confound in any public C-task claim,"`COMPILE_REPAIR_ENABLED = os.environ.get(""AGENT_COMPILE_REPAIR"", ""1"") == ""1""` (askme.py:418) — default ON. It is fully wired end to end: `RunConfig.compile_repair` (askme.py:2820, read from env at 2851), resolved at 3988-3989, hash-logged into the run config payload at 4069, and dispatched at 4623-4624 via `_compile_repair_action(result.output, self.working_dir, action.get(""arg"", """"), enabled=self.compile_repair)`. The rule body is a hard-coded pattern table `_COMPILE_REPAIR_PATTERNS` (askme.py:2320-2341) that injects literal `#include <stdio.h>` and `#include <string.h>` on matching compile errors. The boundary conversion CLAUDE.md describes did land (it proposes a normal action through the executor), but the retain-vs-remove decision is still open per the roadmap. Practical consequence: every shipped run and every retained bench record ran with this heuristic ENABLED, so a public claim that a small local model 'fixed the C compile error' is partly a claim about a hardcoded lookup table.","askme.py:415-418 (COMPILE_REPAIR_ENABLED, default ""1"") | askme.py:2320-2341 (_COMPILE_REPAIR_PATTERNS, fix_include ""#include <stdio.h>"" / ""<string.h>"") | askme.py:2398-2416 (_compile_repair_action, enabled gate) | askme.py:4623-4624 (dispatch site) | askme.py:4069 (compile_repair in hash-logged config) | docs/ablation-compile-repair.md (draft), issue #41 open","Disclose the default-on state in any public C-task narrative, or run the preregistered #41 off-arm at a pinned revision before citing C results."
dead-code,important,docs_or_claims,"The 512-token write cap is opt-in legacy, not the shipped default — do not describe it as 'the' harness constraint","`_default_capability_profile()` (askme.py:204-206) returns `_GENERAL_PROFILE` = `generic-feature-scale-v1` with `step_tokens=4096, step_write_tokens=8192` (askme.py:183-187). The 512-token write cap exists ONLY in `_LEGACY_E4B_PROFILE` = `legacy-e4b-m1-16k-v1` (askme.py:175-182): `step_tokens=256, step_write_tokens=512, reasoning_token_floors=(512,512,768), context_window=16384, server_slots=1`. It binds only when explicitly selected via `LLM_CAPABILITY_PROFILE` (askme.py:209-211) or `--capability-profile` (askme.py:4792-4794). The whole vector is frozen and hash-logged via `capabilities.describe()` into the run config (askme.py:159-172, 4037-4053), which is a genuinely good reproducibility story. NOTE A DISCREPANCY: issue #94 calls `legacy-e4b-m1-16k-v1` ""the shipped profile"", but the code's shipped default is `generic-feature-scale-v1`. Both readings are defensible (legacy is what you must select for the local M1 Gemma 4 E4B story), but the wording matters publicly.","askme.py:175-182 (_LEGACY_E4B_PROFILE, step_write_tokens=512) | askme.py:183-187 (_GENERAL_PROFILE, step_write_tokens=8192) | askme.py:204-206 (_default_capability_profile returns _GENERAL_PROFILE) | askme.py:209-211, 4792-4794 (env + CLI opt-in) | askme.py:159-172 (describe(), hash-logged at 4037-4053) | issue #94 body: ""On the shipped `legacy-e4b-m1-16k-v1` profile (512-token writes)""","In the post, phrase it as 'the opt-in local-M1 profile pins 256/512-token budgets'; never as an unqualified harness limit."
dead-code,nice_to_have,eval_or_simulation,#94's severity is profile-dependent: at the 8192-token default the discarded-write failure mode is far rarer,"Combining the two findings above: #94's dramatic live impact (a 3-call 256->512 escalation ladder producing nothing; T1b `exhausted` at 839 s with 6 of 7 executor steps failing `response_truncated`; T1a hitting the >1200 s wall clock) was measured on the 512-token legacy profile. On the default `generic-feature-scale-v1` profile with 8192 write tokens, a truncated write payload is much less likely, so the unreachable-recovery gap is mostly latent. This does NOT make #94 wrong — the code path is genuinely unreachable at any profile — but it means the public framing should be 'the recovery machinery has no live producer' (a correctness/honesty issue) rather than 'the harness is broken' (a reliability claim that the default config does not support).","issue #94 body: T1b exhausted at 839 s, 6/7 steps response_truncated; T1a >1200 s | askme.py:178 vs askme.py:186 (512 vs 8192 step_write_tokens) | askme.py:1329 comment (""Action-specific budget: a truncated write/edit payload"") — the write-budget escalation ladder","If citing #94 publicly, state the profile it was measured on and that the default profile was not measured."
dead-code,important,process,Issue #94's live-impact evidence is NOT retained on main — do not cite its numbers publicly,"#94 grounds its impact claims in `tests/bench_records/2026-08-04/e89-web-local/` (specifically `shipped-profile/pilot-1trial/test_webapp_notes_round_trip_trial1.jsonl`) and quotes `docs/showcase-tasks.md`. NEITHER EXISTS ON MAIN: `find . -path '*e89-web-local*'` and `find . -name 'showcase*'` both return nothing, and `tests/bench_records/2026-08-04/` contains only `README.md`, `json/`, and `tools/`. They live on the unmerged branch `remotes/origin/eval/e89-web-local` at revision 4e528a6 (PR #89 head merged into fcd5bc0). Under CLAUDE.md's evidence discipline ('claims trace to frozen records'), the 839 s / >1200 s numbers are currently untraceable from the public repo state, and the `showcase-tasks.md` quote about the resume-anchor path cannot be checked by a reader. The CODE mechanism, by contrast, is fully verifiable on main and needs no records.","find /home/user/askme -path '*e89-web-local*' -> no results | find /home/user/askme -name 'showcase*' -> no results | ls tests/bench_records/2026-08-04/ -> README.md, json, tools | git branch -a -> remotes/origin/eval/e89-web-local exists | issue #94 Environment section: revision 4e528a6, PR #89 head",Merge the e89-web-local records (or the relevant JSONL) to main before any public post references those timings; the code-mechanism claim can ship immediately.
dead-code,informational,story_material,The tools-only migration is genuinely clean — this is a defensible public claim,"I found essentially no orphaned JSON-transport code after 5e59dd6. Three things that LOOK like leftovers are all deliberate and correct: (1) `ACTION_TRANSPORT = ""tools""` (askme.py:218) is a single constant retained only to feed the hash-logged run config (askme.py:4054-4057), with an inline comment explaining it keeps post-removal runs distinguishable from pre-removal JSON-envelope runs — justified, not dead. (2) `_decode_action_reply` (askme.py:1034, called at 1325) is still LIVE, not orphaned: `tools_transport = expect == ""action""` (askme.py:925) means only executor actions use tool calls, while planner, task-replan, and validation replies remain plain JSON text (confirmed by ARCHITECTURE.md:203-204). (3) Sentinel framing is genuinely gone AND has negative regression tests asserting its absence: `test_sentinel_framing_is_gone_from_text_decode` (tests/test_agent_llm_client.py:338-347) and tests/test_agent_action_protocol.py:391-395. A dedicated suite `tests/test_agent_tool_transport.py` covers the new transport. Residual nits only: stale comments referencing the removed mechanism, see the next finding.","askme.py:218 (ACTION_TRANSPORT = ""tools""), askme.py:4054-4057 (only consumer, with rationale) | askme.py:925-932 (tools only for expect==""action""; tool_choice ""auto"" with llama.cpp b9618 rationale) | askme.py:1034, 1325 (_decode_action_reply still live for non-action expects) | tests/test_agent_llm_client.py:338-347, tests/test_agent_action_protocol.py:391-395 (negative sentinel tests) | tests/test_agent_tool_transport.py:1-8",
dead-code,nice_to_have,docs_or_claims,Stale in-code comments still describe the removed sentinel transport as the live mechanism,"Cosmetic but reads as live behavior to a new reader arriving from the talk. `WriteObligations.prepare` (askme.py:3530) carries the docstring/comment ""Sentinel transport truncation (issue #15): keep the complete lines that arrived and steer the model to finish the file with chunked append instead of failing the step"" — the sentinel transport no longer exists and, per #94, this branch no longer fires from a model. askme.py:2663 similarly says ""Empty sentinel truncations dispatch no mutation"". actions.py:294 refers to ""a recovered partial sentinel write"". askme.py:216 and 588-590 already have correct post-removal comments, so the file is inconsistent with itself. Also mildly over-claiming: ARCHITECTURE.md:199-200 says a `finish_reason=length` truncation ""returns a structured partial tool call whose retry gets the payload-sized budget"" — nothing partial is returned (the envelope is discarded); what is true is that the synthesized `cleaned` string at askme.py:1110 embeds the action name so the write-budget escalation still triggers.","askme.py:3530-3537 (prepare docstring/comment) | askme.py:2663 (""Empty sentinel truncations"") | actions.py:294 (""a recovered partial sentinel write"") | askme.py:216, 588-590 (correct post-removal comments — inconsistent with the above) | askme.py:1110 vs docs/ARCHITECTURE.md:199-200",Reword the three stale comments in the same PR that resolves #94.
dead-code,important,eval_or_simulation,Roughly 50+ test assertions drive truncation recovery exclusively through the injection seam,"`content_truncated` appears 51 times across four test files: tests/test_agent_actions.py (39), tests/test_agent_action_protocol.py (8), tests/test_agent_step_policy.py (3), tests/test_agent_completion_gates.py (1). Every one of them supplies `""content_truncated"": True` as a dict key on an injected action, which is exactly the askme.py:4498-4502 seam — none drives it from a truncated model reply, which is why the suite is green (1208 passed) while the wire path is unreachable. This is the coverage blind spot #94 names and I confirmed by inspection of the value shape at every call site. Important caveat against calling this simply 'dead code': `run_result(...)` with injectable `RunDependencies` is a PUBLIC supported API per CLAUDE.md, so the seam is reachable by a legitimate embedder, not only by tests. The accurate framing is 'unreachable from any real model; reachable from the public injection API'. If #94 resolves toward option 2 (retire the path), these ~50 assertions plus `_unresolved_incomplete_writes`, `_incomplete_write_visibility`, `append_resume_anchor`, and the `truncated_write` plumbing in actions.py all come out together, and the 96.61% branch coverage number will move.","grep -c content_truncated: tests/test_agent_actions.py=39, test_agent_action_protocol.py=8, test_agent_step_policy.py=3, test_agent_completion_gates.py=1 | askme.py:4498-4502 (the seam every one of them uses) | askme.py:1539 (_unresolved_incomplete_writes), 1603-1635 (_incomplete_write_visibility), 3667-3680 (append_resume_anchor) | actions.py:1028-1082, 1164-1165 (truncated_write plumbing) | CLAUDE.md repository map: run_result(...) with injectable RunDependencies is public API",Add the deterministic regression #94 proposes (drive LLMClient.ask with a tool-call reply cut mid-content at finish_reason=length) so the wire behavior is pinned whichever option is chosen.
dead-code,nice_to_have,process,"Code health: zero TODO/FIXME/XXX/HACK in 6051 runtime lines, but a 224-line __init__ and a 198-line guard_duplicate","`grep -rn 'TODO\|FIXME\|XXX\|HACK' askme.py actions.py` returns NOTHING across 4877 + 1174 = 6051 lines. For a repo people will now read after watching the talk, that is a strong and honestly-earned signal worth mentioning. Against it, the longest-function scan (AST-based) shows the extraction wave has not finished the job CLAUDE.md sets ('its longest functions should keep shrinking'): askme.py `__init__` @3886 = 224 lines, `guard_duplicate` @3012 = 198, `LLMClient.ask` @1211 = 152, `WriteObligations.prepare` @3530 = 127, `try_finish` @3734 = 105, `_select_action` @4435 = 102, `_main` @4776 = 98, `get_step` @1862 = 97, `_run_task` @4331 = 91. actions.py is much healthier: longest is `_read` @552 = 109, then `parse_action_envelope` @880 = 100. A 224-line constructor and a 198-line duplicate-guard are the two a reader will notice first.","grep -rn 'TODO|FIXME|XXX|HACK' askme.py actions.py -> no output | AST scan: askme.py __init__ @3886 (224), guard_duplicate @3012 (198), ask @1211 (152), prepare @3530 (127), try_finish @3734 (105), _select_action @4435 (102), _main @4776 (98) | AST scan: actions.py _read @552 (109), parse_action_envelope @880 (100) | wc -l askme.py actions.py -> 4877 / 1174 | CLAUDE.md Project section: ""its longest functions should keep shrinking""",Optional pre-release polish: split _RunController.__init__ (config validation / component construction / hash payload are three distinct concerns already visible at askme.py:3988-4069).
